Rank,Address,Address_Nametag,Quantity,Percentage,Value
60,0xa4a570c6d82fd1eecb49b1d85c126afe3873971c,,"5,087.58",0.03%,"$3,030.33"
61,0xa4e3555ab4bb3edd2f50b82279d30d6b49261fcc,,"5,000.40",0.03%,"$2,978.40"
62,0x1611cad092c8744ce2361a64273ec1cc049e825c,,"5,000.09",0.03%,"$2,978.21"
63,0xe8c962f71a77f3dfbd9ac73b7ef42a73d7eb3d70,,"4,921.74",0.03%,"$2,931.55"
64,0x5e40c141cfc05ee8e2f5665d58cb6f59791766f6,,"4,764.36",0.03%,"$2,837.81"
65,0x4e78011ce80ee02d2c3e649fb657e45898257815,KlimaDAO: KLIMA Token,"4,682.81",0.03%,"$2,789.23"
66,0x1401f01b8319bd53f7cae49193863ad43a18b7b9,,"4,527.29",0.03%,"$2,696.60"
67,0xcb61e3470aeaae4146acb787cc3b42d24cd5b631,,"4,517.87",0.03%,"$2,690.99"
68,0x0d9bdbf579a33c5c1db9974d754defdc659766a9,,"4,319.14",0.03%,"$2,572.62"
69,0x0319000133d3ada02600f0875d2cf03d442c3367,SushiSwap: Bento Box V1,"4,303.52",0.03%,"$2,563.31"
70,0xb3d51f095d479a1808e46bfa3180451655b540fe,,"4,283.47",0.03%,"$2,551.37"
71,0xdcbc1bcc880d083082f5f354ce895a1fd58fe152,,"4,280.08",0.03%,"$2,549.35"
72,0x09ca5c64c749998bae9dad9f14d38d859fc41cae,,"4,194.38",0.02%,"$2,498.31"
73,0x3a25348eb7e48d4a735700c5d0576956b5fc5b9f,,"4,126.13",0.02%,"$2,457.65"
74,0xa2dbe81b9726615119e2a990cb46ba220b5778f6,,"4,096.51",0.02%,"$2,440.01"
75,0xdc0d6615ac6d245636af6f3ca75f6edfd811422d,,"4,028.06",0.02%,"$2,399.24"
76,0x303b481055b0cee381a64c3ad84d5e5586f9dd68,,"4,007.83",0.02%,"$2,387.19"
77,0xf3350df87ee52eced509c4adbb59c8beb7b17e77,,"4,000.96",0.02%,"$2,383.10"
78,0x55ddcd7b01bc7492ca3e398887296912b088878e,,"4,000",0.02%,"$2,382.53"
79,0x5693c3ff9aeb1338691d630479dc4beed5a232d1,,"3,920",0.02%,"$2,334.88"
80,0xbae57552a3b2c908480ac0e8eeaf0b7705bdfb36,,"3,811.27",0.02%,"$2,270.11"
81,0xa813251e163766361adfb9700748397977a54ea0,Bitrue,"3,798.36",0.02%,"$2,262.42"
82,0x2ba1d6a1de08d6be7ccf885b8f8806b92a1458c1,,"3,568.85",0.02%,"$2,125.72"
83,0x44584ab5083f14a67d9c41099c1cda5d7eb1f7a7,,"3,542.66",0.02%,"$2,110.12"
84,0xca37f8be8a7058555253d46921be191f8539cc15,,"3,520.11",0.02%,"$2,096.69"
85,0xc7f4f9d82609ce876ba5f9ece143c6e2c8917f8d,,"3,343.41",0.02%,"$1,991.44"
86,0x6fc2ec5d8c8c98ec9563e97b6bd009d7dc5359c2,,"3,326.39",0.02%,"$1,981.31"
87,0x84cc602003fe25287efe4af13eb84773feaf8245,,"3,319.64",0.02%,"$1,977.28"
88,0x82f4be67c7719c0796d169112f4e787323b1407b,,"3,221.10",0.02%,"$1,918.59"
89,0x1d7d835f46b3e4b6dacfc4431b0ecaf331816761,,"3,171.51",0.02%,"$1,889.05"
90,0x90d8867c029fc9a0a7e9d3423e448214d7dad367,,"3,164.12",0.02%,"$1,884.65"
91,0x322e25431a487c8ffb84f3cad9d4e9c1c7e9bae2,,"3,050.85",0.02%,"$1,817.19"
92,0x6e91f704328456969f275aa303053597c2b9b3ad,,"3,028.36",0.02%,"$1,803.79"
93,0x5b5099c643c597f4f6c6179a06b3ad8abd6cc13c,,"3,000",0.02%,"$1,786.90"
94,0x4cf21f2b022d16a3c8439789ba3bfe366a514043,,"2,987.82",0.02%,"$1,779.64"
95,0xa31d64f8cc6a034cee2b6920d2312da39511ad6c,,"2,980.51",0.02%,"$1,775.29"
96,0x39b1acb2f2faa31b89407ada8e9589cb9e9ab525,,"2,850.01",0.02%,"$1,697.56"
97,0xc2d0d7b1d50b07a14a4b0edcb39af283cd9e9781,,"2,842.60",0.02%,"$1,693.14"
98,0x8e7e0cf5053384266dc0c1f1c9583bcde84585d5,,"2,835.22",0.02%,"$1,688.75"
99,0x4cb35fd749a1049cd40c219dc3fa25e7552f88c1,,"2,745.61",0.02%,"$1,635.37"
100,0x88cc3456e4bad2fbc19fd76b959a56fb8eae6f4c,,"2,643.68",0.02%,"$1,574.66"
101,0xfbfdb32fd2bf6709ad8de905bdded9ae382c8af8,,"2,633.42",0.02%,"$1,568.55"
